org_id	session_id	conversation_type	message_id	from_user_id	target_id	send_time_ms	message_type	content
1	10002_10008	1	fad1b8ad-9478-47b8-afa0-c5c397c0ac0e	10008	10002	1768468397101	1	关于涨粉的计划今天完全是一.
1	10002_10008	1	a9d74047-6137-4a4a-bf6f-2af2c7865ec5	10002	10008	1768468398803	3	快手_需求文档_这是.pdf
1	10002_10008	1	1e75f9b6-760e-42f6-b2e0-0e24048c0303	10002	10008	1768468476075	1	关于带货的影响设备这样大小积分合作所有.
1	10002_10008	1	2b9fb526-56b2-4393-a1a9-f00fb1ad8736	10008	10002	1768468435630	3	网红_需求文档_不过.pdf
1	10002_10008	1	07a22126-a373-47b1-9b19-0576e06f7851	10008	10002	1768468483621	1	关于推荐的结果你的中国还是工具非常.
1	10002_10008	1	874d946d-08b1-41d3-8240-f43e94d0b790	10008	10002	1768468432306	1	关于带货的能够全国资源只有.
1	10002_10008	1	9d0367fc-13f9-4e7c-89f2-b0fcb6148cb3	10008	10002	1768468412977	1	关于直播的其中城市网站搜索不能不同.
1	10002_10008	1	a7a871d1-b03d-4df8-83d7-b59121c3b012	10008	10002	1768468680272	1	关于拍摄的发生国际更新继续而且生产.
1	10002_10008	1	c0309ac0-b61e-4f81-af32-edc8eb5ee9e8	10008	10002	1768468711645	1	关于涨粉的因此搜索阅读国际在线产品个人中心.
1	10002_10008	1	6da72c44-1a63-49f7-9882-6810a57a648c	10002	10008	1768468651144	2	带货相关资料: https://wei.org/categorieshome.jsp
1	10002_10008	1	b186db76-fc95-43df-9ac2-e35238b0ebe2	10002	10008	1768468797121	1	关于剪辑的中文这样安全一点历史企业一个.
1	10002_10008	1	d1fd2c56-3a9e-42c6-842d-90bb12a8131f	10008	10002	1768468566941	1	关于快手的出来东西资源.
1	10002_10008	1	9d2a1c93-99fa-40e9-9e4a-f5b3219c7fae	10002	10008	1768468552345	1	关于特效的帮助人民设备加入开始.
1	10002_10008	1	e73a049c-51d8-4106-92c0-007e66c289d9	10008	10002	1768468618985	1	关于剪辑的进行一样方式组织法律当前的话我的.
1	10002_10008	1	8622f2e2-9328-479e-b614-44f8139c9bff	10008	10002	1768468816513	1	关于拍摄的中国国内之后不过文化上海就是.
1	10002_10008	1	bbcd6f56-8cce-449b-89dd-a88925c5fbd4	10002	10008	1768468442326	3	算法_需求文档_简介.pdf
1	10002_10008	1	152a3080-e710-42f7-80c2-be359c8bd8a3	10008	10002	1768468467341	1	关于算法的主要联系选择系列类别发现.
1	10002_10008	1	bda2dff3-d371-48af-a947-eb27644f5c15	10008	10002	1768468684911	1	关于涨粉的然后个人之后发布已经.
1	10002_10008	1	e368afbe-8645-4223-848b-bf0c9a213448	10008	10002	1768469385697	1	关于涨粉的质量情况美国所有一定朋友.
1	10002_10008	1	5be3b17c-a628-46cd-8cb3-4c2d4c1e93da	10002	10008	1768468762889	1	关于拍摄的市场要求软件还是.
1	10006_10009	1	7eaaf3ac-aa5d-4668-864e-814e331f23df	10009	10006	1768467751794	1	关于带货的同时特别更新规定.
1	10006_10009	1	0b552aac-8bd6-4b5a-b6b4-9c5ebf3c6376	10009	10006	1768467804533	1	关于直播的更新美国对于内容.
1	10006_10009	1	15dadd43-1736-4b9f-b0ce-f86ed7f6007a	10006	10009	1768467780204	3	带货_需求文档_建设.pdf
1	10006_10009	1	f1191de1-443d-4196-8ddf-639728bec973	10009	10006	1768467805785	1	关于剪辑的什么要求主要继续解决.
1	10006_10009	1	82b4827a-8a4a-4899-8725-17ecfe25a767	10009	10006	1768467836014	1	关于拍摄的具有更多作为回复提高这么准备工作.
1	10006_10009	1	a88ec454-c29f-42fc-98e4-8c56511daa63	10006	10009	1768467884109	1	关于网红的全部安全这是类型中文教育社区.
1	10006_10009	1	75e42bc1-5c8c-4d6a-94d1-be2e65aaf7ed	10006	10009	1768468029930	1	关于网红的不是其他环境那个虽然.
1	10006_10009	1	e85fe7b5-84a1-4889-b2b5-9c4ab9837b01	10009	10006	1768467873804	1	关于变现的商品程序相关介绍根据部分.
1	10006_10009	1	30990dfc-3b8f-4cc5-acc9-4e292a3e632c	10009	10006	1768468190482	3	流量_需求文档_我们.pdf
1	10006_10009	1	3e3f8b33-e501-407a-b850-b3c87cb6b9c6	10006	10009	1768468053069	1	关于剪辑的的人是一专业支持都是可能汽车.
1	10006_10009	1	a58687c3-4412-45c9-b39f-fe586deecf3c	10009	10006	1768468028514	1	关于短视频的中文世界社区所以网上电影电子.
1	10006_10009	1	1d0c7a60-8f75-403a-b847-e461035c748d	10009	10006	1768467807707	1	关于直播的无法业务单位市场.
1	10006_10009	1	e06f0cd3-9085-4fc6-8ed8-93885db5f46c	10009	10006	1768468079586	1	关于快手的解决她的网络学习音乐中国部门.
1	10006_10009	1	b9fc7253-8deb-458c-a772-d511bd23a12a	10006	10009	1768467946729	1	关于快手的一般科技只要主要产品认为.
1	10006_10009	1	596a772d-2805-4711-b82b-a4ac74bd331e	10009	10006	1768467861918	1	关于涨粉的标准日期推荐大小觉得为了.
1	10006_10009	1	3aaaafdd-4f6d-4725-8346-c20bbe9f09a1	10006	10009	1768468494474	1	关于短视频的非常不要比较目前.
1	10006_10009	1	9e5965e2-f85a-4323-896b-e69839e8dab4	10009	10006	1768468142498	1	关于直播的大学联系然后环境无法空间怎么起来.
1	10006_10009	1	5f54c491-afc1-4520-965b-2544ae1c9006	10006	10009	1768468015753	1	关于推荐的城市免费手机那么社区投资事情.
1	10006_10009	1	967580d1-35b6-4dc9-80c3-e5682b3d2733	10006	10009	1768467781314	1	关于短视频的全部以下对于合作.
1	10006_10009	1	9caffd28-eccb-4345-85be-0eb1c050b144	10006	10009	1768468800119	1	关于流量的各种联系方面能力其实学校部分.
1	10004_10006	1	28f0446a-96bd-4527-b6d6-58e6bbd391f6	10006	10004	1768468167190	1	关于快手的不过基本语言因为有关.
1	10004_10006	1	68c56b7b-7d31-446c-a9c2-4c18af8747ea	10006	10004	1768468189011	1	关于流量的人民广告关系手机开发语言发布.
1	10004_10006	1	1a7ea055-7e03-4c64-9625-a974e825fa5f	10004	10006	1768468182696	1	关于短视频的还是这个加入影响介绍.
1	10004_10006	1	7f4a8e1d-eea0-4903-b38d-7c2a3706c12d	10004	10006	1768468284217	1	关于BGM的政府一般点击通过增加部分.
1	10004_10006	1	7e1a5b26-dc25-45b8-b565-213ab912a0b8	10004	10006	1768468352222	1	关于推荐的都是搜索等级文章出现一个状态.
1	10004_10006	1	878de5c5-2418-4d94-ad37-bb5f21fa6175	10006	10004	1768468241145	3	变现_需求文档_最后.pdf
1	10004_10006	1	8cbc560b-a46a-451b-bb26-3e835c85c81d	10006	10004	1768468293490	2	BGM相关资料: https://ming.cn/searchterms.jsp
1	10004_10006	1	75bd1c1e-2f6d-42e8-8fce-2e0407e90389	10004	10006	1768468381698	1	关于拍摄的简介生产相关应用帮助.
1	10004_10006	1	63e1be9b-72de-4c72-9123-40bbfe33ce11	10006	10004	1768468188870	3	剪辑_需求文档_非常.pdf
1	10004_10006	1	25376771-0f60-4534-8729-5483bd7c18a3	10006	10004	1768468344112	1	关于拍摄的项目来自游戏本站过程文章.
1	10004_10006	1	d3a22d78-6a5e-4a35-9746-930940df5b94	10006	10004	1768468418170	1	关于算法的时间环境数据积分本站.
1	10004_10006	1	d30eeda2-82c2-477b-8cfe-82040b8c7ee7	10004	10006	1768468557580	1	关于短视频的加入密码表示关于.
1	10004_10006	1	8ee07c7f-d8ac-4dd1-92de-62c81b829ca8	10004	10006	1768468731946	2	变现相关资料: http://lei.org/categories/category/categoryauthor.php
1	10004_10006	1	b2cb8491-9126-41a7-9bc6-32a573ee2a42	10004	10006	1768468881137	1	关于网红的今天销售有限资料公司控制学校.
1	10004_10006	1	4f92dd9b-117c-4056-8d7b-8c57027f8ca3	10006	10004	1768468795916	1	关于推荐的很多密码不过电子计划.
1	10004_10006	1	7637d2e8-6443-4969-a103-a198515588fc	10006	10004	1768468801795	1	关于抖音的因此学习能够密码.
1	10004_10006	1	ed322710-9aa8-4b91-bf6b-acfb5abada6e	10004	10006	1768468717014	1	关于流量的目前科技您的推荐发生.
1	10004_10006	1	7fb93bbf-6567-488e-abc7-84e992023056	10006	10004	1768468545270	1	关于带货的企业方法发展您的成为质量.
1	10004_10006	1	a902fcce-242d-41af-a5f6-d576e696466d	10004	10006	1768469009482	2	快手相关资料: https://lh.cn/categoriesterms.asp
1	10004_10006	1	3e572291-bfcb-4433-b7c2-f7a9bc786bf4	10004	10006	1768469030664	1	关于推荐的分析而且报告类型经济.
1	10006_10008	1	7aa04627-15b7-4d7f-8aec-fc11e44fa141	10008	10006	1768467028268	1	关于算法的深圳关于之间出现以后虽然.
1	10006_10008	1	045c6dca-0cb0-4cf7-8f28-08f98dfa7f5a	10008	10006	1768467085413	1	关于直播的我的历史运行.
1	10006_10008	1	83f4d7c0-ec77-4b03-9d5f-0ee11a743eda	10006	10008	1768467112512	1	关于直播的表示分析或者环境这种.
1	10006_10008	1	30dafabb-7e90-488a-9095-a52621818785	10008	10006	1768467038243	1	关于特效的广告管理日本公司.
1	10006_10008	1	5610ffe3-1a09-401d-8eee-8e45b7b0750d	10008	10006	1768467169752	1	关于直播的喜欢新闻系列认为或者内容.
1	10006_10008	1	773dc649-b799-4a9d-a3f1-045f8e1450e1	10006	10008	1768467130348	1	关于直播的评论各种为了得到男人使用.
1	10006_10008	1	2d92780b-8b8f-43fb-a0de-30d5c323676e	10008	10006	1768467259634	1	关于算法的使用原因国内一般.
1	10006_10008	1	e951b115-784d-49a9-a9ae-bf23f72014de	10006	10008	1768467277496	1	关于网红的系统应用到了有些.
1	10006_10008	1	a3245de3-af13-4a67-8c3b-30e569ba8d3a	10006	10008	1768467201364	1	关于BGM的日期任何研究软件是一.
1	10006_10008	1	92d1830c-0102-4658-ad11-1e76632aeaf0	10006	10008	1768467503666	1	关于剪辑的他们问题包括.
1	10006_10008	1	fea74c95-d6fd-4f86-a959-afe098576eb9	10008	10006	1768467106748	2	快手相关资料: https://tianluo.cn/category/tagabout.html
1	10006_10008	1	07460777-59c6-4405-9377-ae55b84850c2	10008	10006	1768467367068	1	关于流量的结果然后的人那么.
1	10006_10008	1	30687f77-1153-4dfd-bbee-93bc625a9e97	10008	10006	1768467674036	1	关于涨粉的非常推荐孩子.
